"documentID" "category" "rankingScore"
"234" 51848 "comp.sys.mac.hardware" 0.316228
"235" 51895 "comp.sys.mac.hardware" 0.316228
"236" 51908 "comp.sys.mac.hardware" 0.316228
"237" 66457 "comp.windows.x" 0.316228
"238" 67001 "comp.windows.x" 0.316228
"239" 67124 "comp.windows.x" 0.316228
"240" 67230 "comp.windows.x" 0.316228
"241" 67347 "comp.windows.x" 0.316228
"242" 67358 "comp.windows.x" 0.316228
"243" 67540 "comp.windows.x" 0.316228
"244" 68232 "comp.windows.x" 0.316228
"245" 74800 "misc.forsale" 0.316228
"246" 75926 "misc.forsale" 0.316228
"247" 75952 "misc.forsale" 0.316228
"248" 76099 "misc.forsale" 0.316228
"249" 101631 "rec.autos" 0.316228
"250" 102808 "rec.autos" 0.316228
"251" 102833 "rec.autos" 0.316228
"252" 102848 "rec.autos" 0.316228
"253" 102922 "rec.autos" 0.316228
"254" 103066 "rec.autos" 0.316228
"255" 103484 "rec.autos" 0.316228
"256" 103747 "rec.autos" 0.316228
"257" 103159 "rec.motorcycles" 0.316228
"258" 103195 "rec.motorcycles" 0.316228
"259" 104519 "rec.motorcycles" 0.316228
"260" 104862 "rec.motorcycles" 0.316228
"261" 105141 "rec.motorcycles" 0.316228
"262" 102597 "rec.sport.baseball" 0.316228
"263" 104342 "rec.sport.baseball" 0.316228
"264" 104490 "rec.sport.baseball" 0.316228
"265" 104553 "rec.sport.baseball" 0.316228
"266" 104845 "rec.sport.baseball" 0.316228
"267" 104920 "rec.sport.baseball" 0.316228
"268" 52609 "rec.sport.hockey" 0.316228
"269" 53638 "rec.sport.hockey" 0.316228
"270" 53827 "rec.sport.hockey" 0.316228
"271" 53854 "rec.sport.hockey" 0.316228
"272" 54257 "rec.sport.hockey" 0.316228
"273" 15225 "sci.crypt" 0.316228
"274" 15284 "sci.crypt" 0.316228
"275" 15422 "sci.crypt" 0.316228
"276" 15489 "sci.crypt" 0.316228
"277" 15508 "sci.crypt" 0.316228
"278" 15625 "sci.crypt" 0.316228
"279" 15651 "sci.crypt" 0.316228
"280" 15748 "sci.crypt" 0.316228
"281" 15780 "sci.crypt" 0.316228
"282" 15798 "sci.crypt" 0.316228
"283" 15817 "sci.crypt" 0.316228
"284" 15954 "sci.crypt" 0.316228
"285" 52786 "sci.electronics" 0.316228
"286" 53555 "sci.electronics" 0.316228
"287" 53611 "sci.electronics" 0.316228
"288" 53654 "sci.electronics" 0.316228
"289" 53770 "sci.electronics" 0.316228
"290" 53777 "sci.electronics" 0.316228
"291" 53852 "sci.electronics" 0.316228
"292" 53948 "sci.electronics" 0.316228
"293" 53976 "sci.electronics" 0.316228
"294" 54011 "sci.electronics" 0.316228
"295" 54022 "sci.electronics" 0.316228
"296" 54151 "sci.electronics" 0.316228
"297" 54164 "sci.electronics" 0.316228
"298" 54228 "sci.electronics" 0.316228
"299" 54233 "sci.electronics" 0.316228
"300" 54331 "sci.electronics" 0.316228
"301" 54478 "sci.electronics" 0.316228
"302" 58081 "sci.med" 0.316228
"303" 58088 "sci.med" 0.316228
"304" 58819 "sci.med" 0.316228
"305" 59132 "sci.med" 0.316228
"306" 59588 "sci.med" 0.316228
"307" 59615 "sci.med" 0.316228
"308" 59497 "sci.space" 0.316228
"309" 59846 "sci.space" 0.316228
"310" 60151 "sci.space" 0.316228
"311" 60160 "sci.space" 0.316228
"312" 60170 "sci.space" 0.316228
"313" 60175 "sci.space" 0.316228
"314" 60198 "sci.space" 0.316228
"315" 60215 "sci.space" 0.316228
"316" 60225 "sci.space" 0.316228
"317" 60227 "sci.space" 0.316228
"318" 60232 "sci.space" 0.316228
"319" 60248 "sci.space" 0.316228
"320" 60772 "sci.space" 0.316228
"321" 60787 "sci.space" 0.316228
"322" 60788 "sci.space" 0.316228
"323" 60794 "sci.space" 0.316228
"324" 60814 "sci.space" 0.316228
"325" 60821 "sci.space" 0.316228
"326" 60830 "sci.space" 0.316228
"327" 60832 "sci.space" 0.316228
"328" 60841 "sci.space" 0.316228
"329" 60843 "sci.space" 0.316228
"330" 60849 "sci.space" 0.316228
"331" 60852 "sci.space" 0.316228
"332" 60875 "sci.space" 0.316228
"333" 60895 "sci.space" 0.316228
"334" 60911 "sci.space" 0.316228
"335" 60921 "sci.space" 0.316228
"336" 60935 "sci.space" 0.316228
"337" 60940 "sci.space" 0.316228
"338" 60946 "sci.space" 0.316228
"339" 60954 "sci.space" 0.316228
"340" 60969 "sci.space" 0.316228
"341" 60970 "sci.space" 0.316228
"342" 60972 "sci.space" 0.316228
"343" 60978 "sci.space" 0.316228
"344" 60980 "sci.space" 0.316228
"345" 60998 "sci.space" 0.316228
"346" 61009 "sci.space" 0.316228
"347" 61011 "sci.space" 0.316228
"348" 61014 "sci.space" 0.316228
"349" 61015 "sci.space" 0.316228
"350" 61023 "sci.space" 0.316228
"351" 61032 "sci.space" 0.316228
"352" 61046 "sci.space" 0.316228
"353" 61051 "sci.space" 0.316228
"354" 61061 "sci.space" 0.316228
"355" 61067 "sci.space" 0.316228
"356" 61070 "sci.space" 0.316228
"357" 61079 "sci.space" 0.316228
"358" 61082 "sci.space" 0.316228
"359" 61085 "sci.space" 0.316228
"360" 61115 "sci.space" 0.316228
"361" 61133 "sci.space" 0.316228
"362" 61142 "sci.space" 0.316228
"363" 61148 "sci.space" 0.316228
"364" 61150 "sci.space" 0.316228
"365" 61159 "sci.space" 0.316228
"366" 61163 "sci.space" 0.316228
"367" 61177 "sci.space" 0.316228
"368" 61184 "sci.space" 0.316228
"369" 61198 "sci.space" 0.316228
"370" 61206 "sci.space" 0.316228
"371" 61217 "sci.space" 0.316228
"372" 61267 "sci.space" 0.316228
"373" 61293 "sci.space" 0.316228
"374" 61312 "sci.space" 0.316228
"375" 61313 "sci.space" 0.316228
"376" 61315 "sci.space" 0.316228
"377" 61323 "sci.space" 0.316228
"378" 61326 "sci.space" 0.316228
"379" 61336 "sci.space" 0.316228
"380" 61337 "sci.space" 0.316228
"381" 61343 "sci.space" 0.316228
"382" 61344 "sci.space" 0.316228
"383" 61345 "sci.space" 0.316228
"384" 61349 "sci.space" 0.316228
"385" 61373 "sci.space" 0.316228
"386" 61374 "sci.space" 0.316228
"387" 61379 "sci.space" 0.316228
"388" 61383 "sci.space" 0.316228
"389" 61389 "sci.space" 0.316228
"390" 61393 "sci.space" 0.316228
"391" 61406 "sci.space" 0.316228
"392" 61408 "sci.space" 0.316228
"393" 61411 "sci.space" 0.316228
"394" 61412 "sci.space" 0.316228
"395" 61427 "sci.space" 0.316228
"396" 61431 "sci.space" 0.316228
"397" 61437 "sci.space" 0.316228
"398" 61445 "sci.space" 0.316228
"399" 61451 "sci.space" 0.316228
"400" 61458 "sci.space" 0.316228
"401" 61466 "sci.space" 0.316228
"402" 61468 "sci.space" 0.316228
"403" 61469 "sci.space" 0.316228
"404" 61472 "sci.space" 0.316228
"405" 61487 "sci.space" 0.316228
"406" 61495 "sci.space" 0.316228
"407" 61506 "sci.space" 0.316228
"408" 61526 "sci.space" 0.316228
"409" 61527 "sci.space" 0.316228
"410" 61536 "sci.space" 0.316228
"411" 61542 "sci.space" 0.316228
"412" 62104 "sci.space" 0.316228
"413" 62114 "sci.space" 0.316228
"414" 62127 "sci.space" 0.316228
"415" 62373 "sci.space" 0.316228
"416" 62391 "sci.space" 0.316228
"417" 62394 "sci.space" 0.316228
"418" 62398 "sci.space" 0.316228
"419" 62401 "sci.space" 0.316228
"420" 62404 "sci.space" 0.316228
"421" 62426 "sci.space" 0.316228
"422" 62453 "sci.space" 0.316228
"423" 62475 "sci.space" 0.316228
"424" 62614 "sci.space" 0.316228
"425" 62708 "sci.space" 0.316228
"426" 20518 "soc.religion.christian" 0.316228
"427" 20835 "soc.religion.christian" 0.316228
"428" 20849 "soc.religion.christian" 0.316228
"429" 21508 "soc.religion.christian" 0.316228
"430" 21619 "soc.religion.christian" 0.316228
"431" 21645 "soc.religion.christian" 0.316228
"432" 21807 "soc.religion.christian" 0.316228
"433" 54316 "talk.politics.guns" 0.316228
"434" 54468 "talk.politics.guns" 0.316228
"435" 54508 "talk.politics.guns" 0.316228
"436" 54511 "talk.politics.guns" 0.316228
"437" 54605 "talk.politics.guns" 0.316228
"438" 54706 "talk.politics.guns" 0.316228
"439" 54721 "talk.politics.guns" 0.316228
"440" 54857 "talk.politics.guns" 0.316228
"441" 54914 "talk.politics.guns" 0.316228
"442" 54916 "talk.politics.guns" 0.316228
"443" 55049 "talk.politics.guns" 0.316228
"444" 75978 "talk.politics.mideast" 0.316228
"445" 75990 "talk.politics.mideast" 0.316228
"446" 76073 "talk.politics.mideast" 0.316228
"447" 76074 "talk.politics.mideast" 0.316228
"448" 76095 "talk.politics.mideast" 0.316228
"449" 76253 "talk.politics.mideast" 0.316228
"450" 76366 "talk.politics.mideast" 0.316228
"451" 77203 "talk.politics.mideast" 0.316228
"452" 176870 "talk.politics.misc" 0.316228
"453" 176904 "talk.politics.misc" 0.316228
"454" 177013 "talk.politics.misc" 0.316228
"455" 177022 "talk.politics.misc" 0.316228
"456" 178596 "talk.politics.misc" 0.316228
"457" 178611 "talk.politics.misc" 0.316228
"458" 178655 "talk.politics.misc" 0.316228
"459" 179000 "talk.politics.misc" 0.316228
"460" 179024 "talk.politics.misc" 0.316228
"461" 82788 "talk.religion.misc" 0.316228
"462" 83535 "talk.religion.misc" 0.316228
"463" 83915 "talk.religion.misc" 0.316228
"464" 84091 "talk.religion.misc" 0.316228
"465" 84190 "talk.religion.misc" 0.316228
"466" 84225 "talk.religion.misc" 0.316228
"467" 84302 "talk.religion.misc" 0.316228
